Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
71248005,426113009,Structure of mucous membrane of larynx (body structure),Membrane organ structure (body structure)
727251003,732041007,Entire nigrothalamic fibers (body structure),Entire regional nervous system (body structure)
727718006,731480008,Entire medial border of patella (body structure),Entire free lower limb (body structure)
727718006,362875007,Entire medial border of patella (body structure),Entire lower body (body structure)
727718006,732088006,Entire medial border of patella (body structure),Entire regional musculoskeletal system (body structure)
67019001,362508001,Structure of pupil of both eyes (body structure),"Both eyes, entire (body structure)"
730079007,727285002,Entire branch of anterior division of internal iliac artery (body structure),Entire soft tissues (body structure)
730079007,730077009,Entire branch of anterior division of internal iliac artery (body structure),Entire branch of internal iliac artery (body structure)
728997009,728996000,Entire opening of female urethral gland (body structure),Entire opening into female urethra (body structure)
728997009,728999007,Entire opening of female urethral gland (body structure),Entire opening into urethra (body structure)
728997009,362875007,Entire opening of female urethral gland (body structure),Entire lower body (body structure)
728997009,362662005,Entire opening of female urethral gland (body structure),Entire lower trunk (body structure)
729984001,731480008,Entire intertarsal joint synovium (body structure),Entire free lower limb (body structure)
729984001,727285002,Entire intertarsal joint synovium (body structure),Entire soft tissues (body structure)
729984001,362875007,Entire intertarsal joint synovium (body structure),Entire lower body (body structure)
729984001,732086005,Entire intertarsal joint synovium (body structure),Entire regional synovial membrane (body structure)
729984001,732088006,Entire intertarsal joint synovium (body structure),Entire regional musculoskeletal system (body structure)
60035005,314620000,Structure of base of phalanx of ring finger (body structure),Epiphysis of phalanx of finger (body structure)
728078007,732022009,Entire longitudinal intrinsic muscle of tongue (body structure),Entire regional skeletal muscle (body structure)
728078007,362084006,Entire longitudinal intrinsic muscle of tongue (body structure),Entire oral soft tissues (body structure)
728078007,727285002,Entire longitudinal intrinsic muscle of tongue (body structure),Entire soft tissues (body structure)
728078007,732088006,Entire longitudinal intrinsic muscle of tongue (body structure),Entire regional musculoskeletal system (body structure)
181966004,731794005,Entire pisiform bone of hand (body structure),Entire bone of proximal carpus (body structure)
31575005,423616005,Structure of episcleral vein (body structure),Structure of anterior ciliary vein (body structure)
71271007,8677005,Structure of coronary sinus ostium (body structure),Body of right atrium (body structure)
362006006,362004009,Entire peripheral vascular system (body structure),Entire systemic circulatory system (body structure)
62590001,127948008,Structure of medial margin of forearm (body structure),Region of upper extremity (body structure)
312782004,731480008,Entire apex of patella (body structure),Entire free lower limb (body structure)
312782004,362875007,Entire apex of patella (body structure),Entire lower body (body structure)
312782004,732088006,Entire apex of patella (body structure),Entire regional musculoskeletal system (body structure)
368383002,368466005,Entire subcutaneous tissue of finger (body structure),Entire subcutaneous tissue of hand (body structure)
368383002,727285002,Entire subcutaneous tissue of finger (body structure),Entire soft tissues (body structure)
368383002,368489002,Entire subcutaneous tissue of finger (body structure),Entire subcutaneous tissue of upper extremity (body structure)
368383002,731922009,Entire subcutaneous tissue of finger (body structure),Entire subcutaneous tissue of limb (body structure)
726966002,732041007,Entire postnodular fissure (body structure),Entire regional nervous system (body structure)
727586002,728007001,Entire dorsal digital nerve to third toe (body structure),Entire dorsal digital nerve (body structure)
727586002,731480008,Entire dorsal digital nerve to third toe (body structure),Entire free lower limb (body structure)
727586002,732041007,Entire dorsal digital nerve to third toe (body structure),Entire regional nervous system (body structure)
727586002,727285002,Entire dorsal digital nerve to third toe (body structure),Entire soft tissues (body structure)
727586002,362875007,Entire dorsal digital nerve to third toe (body structure),Entire lower body (body structure)
727586002,730370004,Entire dorsal digital nerve to third toe (body structure),Entire regional peripheral nerve (body structure)
727586002,731842004,Entire dorsal digital nerve to third toe (body structure),Entire nervous of limb (body structure)
729517008,729515000,Entire layer of medium vessels (body structure),Entire layer of choroid (body structure)
729307002,727285002,Entire nerve of the pterygoid canal (body structure),Entire soft tissues (body structure)
729307002,730370004,Entire nerve of the pterygoid canal (body structure),Entire regional peripheral nerve (body structure)
730805001,732004006,Entire dentinopulpal junction (body structure),Entire oral hard tissue (body structure)
730805001,362084006,Entire dentinopulpal junction (body structure),Entire oral soft tissues (body structure)
730805001,727285002,Entire dentinopulpal junction (body structure),Entire soft tissues (body structure)
728033009,731480008,Entire medial intercuneiform joint (body structure),Entire free lower limb (body structure)
728033009,362875007,Entire medial intercuneiform joint (body structure),Entire lower body (body structure)
728033009,732088006,Entire medial intercuneiform joint (body structure),Entire regional musculoskeletal system (body structure)
52066009,54110006,Structure of superior petrosal sinus (body structure),Structure of sigmoid sinus (body structure)
52066009,423068002,Structure of superior petrosal sinus (body structure),Structure of tributary of superior petrosal sinus (body structure)
76552005,95939006,Skin structure of shoulder (body structure),Structure of soft tissues of shoulder (body structure)
