Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
254175006,400160003,Bullous eruption of hand (disorder),Disorder of skin of upper limb (disorder)
15697601000119106,451431000124104,Tendonitis of left ankle (disorder),Disorder of left lower extremity (disorder)
342191000119105,12236161000119108,Acute conjunctivitis of left eye (disorder),Conjunctivitis of left eye (disorder)
714985003,371551001,Chronic osteomyelitis of carpal bone (disorder),Osteomyelitis of upper limb (disorder)
11306361000119105,11306441000119104,Closed avulsion fracture of anterior superior spine of right ilium (disorder),Closed fracture of right ilium (disorder)
402888002,189176002,Primary herpes simplex infection of genitalia (disorder),Infectious disease of genitourinary system (disorder)
716868003,363056008,Multicentric osteolysis nodulosis arthropathy spectrum (disorder),Degenerative disorder of extremity (disorder)
716868003,363054006,Multicentric osteolysis nodulosis arthropathy spectrum (disorder),Degenerative disorder of bone (disorder)
716868003,73573004,Multicentric osteolysis nodulosis arthropathy spectrum (disorder),Congenital anomaly of musculoskeletal system (disorder)
192709004,87536007,Post plague vaccination encephalitis (disorder),Central nervous system complication (disorder)
209258001,2651006,Closed fracture subluxation elbow joint (disorder),Closed traumatic dislocation of elbow joint (disorder)
28884001,9340000,"Moderate bipolar I disorder, single manic episode (disorder)","Bipolar I disorder, single manic episode (disorder)"
2004005,72970002,Normal blood pressure (finding),Normal vital signs (finding)
471297002,21981000,Anomalous origin of single coronary artery from nonfacing aortic sinus (disorder),Single coronary artery (disorder)
276397000,249529000,Has passed meconium (finding),Passage of meconium (finding)
704151009,297130008,Open fracture of proximal phalanx of ring finger (disorder),Fracture of proximal phalanx of finger (disorder)
445130008,128398001,Acute infective adenoiditis (disorder),Infectious disease of digestive tract (disorder)
10819701000119106,11864841000119106,Open fracture of left lateral malleolus of fibula (disorder),Injury of left lower leg (disorder)
34276006,72970002,Normal femoral pulse (finding),Normal vital signs (finding)
298417002,298229008,Normal active range of cervical spine extension (finding),Active range of joint movement normal (finding)
331611000119100,334881000119107,Hordeolum externum of upper eyelid of right eye (disorder),Hordeolum externum of right eyelid (disorder)
292221000119102,290171000119108,Entrapment neuropathy of right plantar nerve (disorder),Lesion of right plantar nerve (disorder)
