Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
214134000,214206004,"Motor vehicle traffic accident involving collision with another motor vehicle, abandoned on highway, pedestrian injured (event)",Motor vehicle on road in collision with pedestrian (event)
216009000,216008008,"Collision of aircraft with another aircraft, while in transit, occupant of spacecraft injured (event)",Collision of aircraft with another aircraft while in transit (event)
216009000,242248003,"Collision of aircraft with another aircraft, while in transit, occupant of spacecraft injured (event)",Collision of spacecraft with aircraft (event)
215875004,216267008,"Aircraft collision while taking off, occupant of spacecraft injured (event)",Accident to spacecraft (event)
216021001,216019006,"Collision of aircraft with bird, while in transit, occupant of military aircraft injured (event)","Collision of aircraft with bird, while in transit (event)"
242078003,213912005,Fall from railway vehicle in motion (event),Fall in train (event)
242380004,454811000124106,Accidental exposure to arsenic compounds (event),Exposure to arsenic (event)
269674006,215930001,Fire on powered aircraft while landing (event),Fire on aircraft while landing (event)
215953000,242249006,"Explosion on aircraft while landing, occupant of spacecraft injured (event)",Accident to spacecraft on landing (event)
217211008,217210009,Carbon monoxide fumes from conflagration in lodging house (event),Carbon monoxide fumes from conflagration in house (event)
269678009,215974004,Forced landing while powered aircraft landing (event),Forced landing while landing (event)
214085005,242091002,"Motor vehicle traffic accident involving collision with another motor vehicle, parked, passenger on motor cycle injured (event)",Motor vehicle on road in collision with motor cycle (event)
216027002,216019006,"Collision of aircraft with bird, while in transit, parachutist injured (event)","Collision of aircraft with bird, while in transit (event)"
215931002,242249006,"Fire on aircraft while landing, occupant of spacecraft injured (event)",Accident to spacecraft on landing (event)
214149008,418589001,Motor vehicle on road in collision with ridden animal (event),Accidental physical contact with animal (event)
216016004,216008008,"Collision of aircraft with another aircraft, while in transit, parachutist injured (event)",Collision of aircraft with another aircraft while in transit (event)
269670002,215885003,Powered aircraft collision while landing (event),Aircraft collision while landing (event)
218198009,418921006,Overexposure to black light source (event),Exposure to light (event)
216089002,216084007,"Hang glider accident, parachutist injured (event)","Glider accident, parachutist injured (event)"
135829001,242372006,Accidental ingestion of white spirit (event),Accidental exposure to white spirit (event)
214123003,214206004,"Motor vehicle traffic accident involving collision with another motor vehicle, disabled, pedestrian injured (event)",Motor vehicle on road in collision with pedestrian (event)
215764007,215759008,"Localized fire in watercraft, water skier injured (event)",Localized fire in watercraft (event)
217541009,217539008,Ignition of liquid paraffin gas with ignition of clothing (event),Ignition of paraffin with ignition of clothing (event)
274914003,419546006,Motor vehicle on road in collision with unridden animal (event),Accidental physical contact with unridden animal (event)
242216002,242210008,Accident to hang glider in flight (event),Accident to glider in flight (event)
214112002,214206004,"Motor vehicle traffic accident involving collision with another motor vehicle, stalled, pedestrian injured (event)",Motor vehicle on road in collision with pedestrian (event)
216054004,216053005,"Fire on aircraft while in transit, spacecraft occupant injured (event)",Fire on aircraft while in transit (event)
216054004,242238000,"Fire on aircraft while in transit, spacecraft occupant injured (event)",Accident to spacecraft in flight (event)
444487004,454791000124107,Exposure to anogenital Herpes simplex virus (event),Exposure to herpes simplex virus (event)
269681004,216042004,Explosion on powered aircraft while in transit (event),Explosion on aircraft while in transit (event)
214101002,214206004,"Motor vehicle traffic accident involving collision with another motor vehicle, stopped, pedestrian injured (event)",Motor vehicle on road in collision with pedestrian (event)
214530003,214528000,"Noncollision motor vehicle traffic accident involving explosion of any part of motor vehicle while in motion, passenger on motor cycle injured (event)","Noncollision motor vehicle traffic accident involving explosion of any part of motor vehicle while in motion, passenger of motor vehicle injured (event)"
216090006,216085008,"Hang glider accident, member of ground crew injured (event)","Glider accident, member of ground crew injured (event)"
432527004,444557007,Domestic sexual abuse of adult (event),Sexual abuse of adult (event)
