Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
406083005,395512009,"Tumor nodule size, additional dimension (observable entity)","Tumor size, additional dimension (observable entity)"
406083005,396362009,"Tumor nodule size, additional dimension (observable entity)","Lesion size, additional dimension (observable entity)"
129009001,364179002,"Bladder control, function (observable entity)",Urinary tract observable (observable entity)
21192000,70514001,"Systolic phase of uterine contraction, function (observable entity)","Uterine contraction, function (observable entity)"
714897003,714896007,Ability to transfer from wheelchair to chair (observable entity),Ability to transfer from chair to wheelchair (observable entity)
246437005,246435002,Number of fetuses reduced to (observable entity),Number of fetuses (observable entity)
364519002,364499003,Measure of foot (observable entity),Measure of lower limb (observable entity)
396510008,399392001,Distance of in situ carcinoma from closest lateral margin (observable entity),Distance of in situ carcinoma from closest margin (observable entity)
371479009,396361002,"Tumor size, largest dimension (observable entity)","Lesion size, largest dimension (observable entity)"
286313007,716304009,Ability to use consonant vowel combination (observable entity),Ability to use consonant vowel consonant vowel combination (observable entity)
364472000,364465001,Size of clavicle (observable entity),Size of upper limb (observable entity)
364493002,364492007,Feature of musculoskeletal structure of finger (observable entity),Feature of finger (observable entity)
401163005,271306003,Percentage of best ever peak expiratory flow rate (observable entity),Best ever peak flow rate (respiratory) (observable entity)
401163005,251936000,Percentage of best ever peak expiratory flow rate (observable entity),Best ever peak expiratory flow rate (observable entity)
446827005,446515003,Modified health assessment questionnaire score (observable entity),Health assessment questionnaire score (observable entity)
442126001,442371002,Start time for preparation of patient in procedure room (observable entity),Start time of procedure (observable entity)
110309000,110306007,Group function in protrusive excursion of teeth (observable entity),"Protrusive excursion of teeth, function (observable entity)"
63248004,35184007,"Inhibition of bile secretion, function (observable entity)","Bile secretion, function (observable entity)"
289170007,364142000,Retrieving food from buccal sulcus (observable entity),Digestive system observable (observable entity)
289170007,364111005,Retrieving food from buccal sulcus (observable entity),Oral cavity observable (observable entity)
78763000,40117008,"Regulation of gastric emptying, function (observable entity)","Gastric emptying, function (observable entity)"
301624003,301618009,Ability to use stair lift (observable entity),Ability to use lift (observable entity)
716602002,716596000,New Reynell Developmental Language Scales score (observable entity),Reynell Developmental Language Scales score (observable entity)
247313001,247312006,"Firm pressure touch, function (observable entity)","Firm touch, function (observable entity)"
396518001,385390003,Distance of malignant melanoma from deep margin (observable entity),Distance of malignant neoplasm from deep margin (observable entity)
364267006,364256005,Arrangement of gravid uterus (observable entity),Arrangement of uterus (observable entity)
22787009,83323007,"Epiphysis formation, function (observable entity)","Bone formation, function (observable entity)"
417977005,386709002,Intermediate visual acuity - right eye (observable entity),Visual acuity - right eye (observable entity)
395512009,396362009,"Tumor size, additional dimension (observable entity)","Lesion size, additional dimension (observable entity)"
73130002,70514001,"Propagation of uterine contraction, function (observable entity)","Uterine contraction, function (observable entity)"
251008008,310617002,Tricuspid valve function (observable entity),Heart valve function (observable entity)
446623006,446515003,Childhood health assessment questionnaire score (observable entity),Health assessment questionnaire score (observable entity)
251964005,251963004,Intravesical pressure at maximum flow (observable entity),Maximum intravesical pressure (observable entity)
251364003,251363009,Nasal peak inspiratory air flow (observable entity),Nasal peak air flow (observable entity)
