Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
131811002,44082004,Runner breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
421004005,421544007,Streptococcus gallolyticus subspecies macedonicus (organism),Streptococcus gallolyticus subspecies gallolyticus (organism)
434497005,434511007,Caldanaerobacter subterraneus subspecies pacificus (organism),Caldanaerobacter subterraneus subspecies subterraneus (organism)
133062006,133033005,Kiger Mustang horse breed (organism),Mustang horse breed (organism)
131813004,44082004,Orpington breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
132383000,132527002,"Belgian Griffon, Smooth dog breed (organism)",Belgian Griffon dog breed (organism)
131826000,44082004,Coast breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
717079003,717081001,Staphylococcus petrasii subspecies croceilyticus (organism),Staphylococcus petrasii subspecies petrasii (organism)
431158005,431160007,Bifidobacterium animalis subspecies lactis (organism),Bifidobacterium animalis subspecies animalis (organism)
133502000,133577005,Macedonian Busa cattle breed (organism),Busa cattle breed (organism)
433190005,432202007,Lactobacillus kefiranofaciens subspecies kefirgranum (organism),Lactobacillus kefiranofaciens subspecies kefiranofaciens (organism)
90868008,77985003,Carey Island virus (organism),Rio Bravo virus (organism)
131850003,70881005,Scania goose breed (organism),Anser anser anser (organism)
113762009,113761002,Fusobacterium nucleatum subspecies polymorphum (organism),Fusobacterium nucleatum subspecies nucleatum (organism)
131843002,70881005,Embden goose breed (organism),Anser anser anser (organism)
438158003,440278003,Streptomyces hygroscopicus subspecies angustmyceticus (organism),Streptomyces hygroscopicus subspecies hygroscopicus (organism)
131856009,70881005,Swedish Island goose breed (organism),Anser anser anser (organism)
128338004,113982002,Streptococcus dysgalactiae subspecies equisimilis (organism),Streptococcus dysgalactiae subspecies dysgalactiae (organism)
133072009,133134002,American Bashkir Curly horse breed (organism),Bashkir Curly horse breed (organism)
86938009,67140002,Leuconostoc mesenteroides subspecies dextranicum (organism),Leuconostoc mesenteroides subspecies mesenteroides (organism)
132923005,132882003,Silver Seal Rex rabbit breed (organism),Silver rabbit breed (organism)
132155009,133162009,"Hainan, Lingao pig breed (organism)",Hainan pig breed (organism)
133089001,76302002,Southwest Spanish Mustang horse breed (organism),Spanish mustang horse (organism)
133089001,133033005,Southwest Spanish Mustang horse breed (organism),Mustang horse breed (organism)
456866008,456865007,Sciurus niger subspecies cinereus (organism),Sciurus niger subspecies niger (organism)
131469003,131510007,Eastern Nuer cattle breed (organism),Nuer cattle breed (organism)
133688008,32938007,Polled Gir cattle breed (organism),Gir cattle breed (organism)
34523000,91131004,Plant producing azoxy glycoside (organism),Plant producing glycoside (organism)
131814005,44082004,Crested breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
53591005,18065004,"Clostridium novyi, type A (organism)","Clostridium botulinum, type A (organism)"
132646005,132626000,Toy Havanese Terrier dog breed (organism),Havanese dog breed (organism)
60502008,91508008,Francisella tularensis subspecies holarctica (organism),Francisella tularensis subspecies tularensis (organism)
132310009,132309004,"Wanzhe Spotted, Chunan Spotted pig breed (organism)",Wanzhe Spotted pig breed (organism)
422046003,420518002,Pectobacterium carotovorum subspecies odoriferum (organism),Pectobacterium carotovorum subspecies carotovorum (organism)
132076002,77236002,Russian Large White pig breed (organism),Large white pig (organism)
133147007,133136000,Spanish Barb horse breed (organism),Barb horse breed (organism)
699552009,608934005,Schizont form of Genus Plasmodium (organism),Trophozoite form of Genus Plasmodium (organism)
132459007,132452003,Wirehair Styrian mountain dog breed (organism),Styrian Mountain dog breed (organism)
434486005,434511007,Caldanaerobacter subterraneus subspecies tengcongensis (organism),Caldanaerobacter subterraneus subspecies subterraneus (organism)
433552006,433568000,Bifidobacterium thermacidophilum subspecies porcinum (organism),Bifidobacterium thermacidophilum subspecies thermacidophilum (organism)
133448006,133584002,Randall Lineback cattle breed (organism),Lineback cattle breed (organism)
432388006,431577003,Nonomuraea roseoviolacea subspecies carminata (organism),Nonomuraea roseoviolacea subspecies roseoviolacea (organism)
131828004,44082004,Magpie breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
132937001,132929009,Satin American guinea pig breed (organism),American guinea pig breed (organism)
23930001,91508008,Francisella tularensis subspecies mediasiatica (organism),Francisella tularensis subspecies tularensis (organism)
131918007,44082004,Saxony breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
723805007,723804006,Pseudomonas chlororaphis subspecies aureofaciens (organism),Pseudomonas chlororaphis subspecies chlororaphis (organism)
443593001,443302001,Bifidobacterium longum subspecies suis (organism),Bifidobacterium longum subspecies longum (organism)
438279007,440278003,Streptomyces hygroscopicus subspecies ossamyceticus (organism),Streptomyces hygroscopicus subspecies hygroscopicus (organism)
717080000,717081001,Staphylococcus petrasii subspecies jettensis (organism),Staphylococcus petrasii subspecies petrasii (organism)
132294003,132244004,"Jinhua, Yongkang pig breed (organism)",Jinhua pig breed (organism)
428345001,429250004,Aquaspirillum itersonii subspecies nipponicum (organism),Aquaspirillum itersonii subspecies itersonii (organism)
132013003,132243005,Manor Meishan pig breed (organism),Meishan pig breed (organism)
53744000,423043004,Human coxsackievirus A (organism),Human enterovirus A (organism)
434658008,434707003,Kibdelosporangium aridum subspecies largum (organism),Kibdelosporangium aridum subspecies aridum (organism)
438164005,438005005,Staphylococcus equorum subspecies linens (organism),Staphylococcus equorum subspecies equorum (organism)
66867001,91131004,Plant producing cyanogenic glycoside (organism),Plant producing glycoside (organism)
438733001,438905007,Staphylococcus carnosus subspecies utilis (organism),Staphylococcus carnosus subspecies carnosus (organism)
432931002,432228005,Photorhabdus luminescens subspecies thracensis (organism),Photorhabdus luminescens subspecies luminescens (organism)
132894007,132893001,Chinchilla Giganta rabbit breed (organism),Chinchilla rabbit breed (organism)
35041008,67140002,Leuconostoc mesenteroides subspecies cremoris (organism),Leuconostoc mesenteroides subspecies mesenteroides (organism)
440807002,441082001,Streptomyces diastaticus subspecies ardesiacus (organism),Streptomyces diastaticus subspecies diastaticus (organism)
131946009,133116001,Swedish Ardennes horse breed (organism),Ardennes horse breed (organism)
243689002,243686009,Ctenocephalides felis strongylus (organism),Ctenocephalides felis felis (organism)
434700001,434699002,Clavibacter michiganensis subspecies insidiosus (organism),Clavibacter michiganensis subspecies michiganensis (organism)
433550003,433563009,Desulfovibrio vulgaris subspecies oxamicus (organism),Desulfovibrio vulgaris subspecies vulgaris (organism)
434482007,434457007,Microbispora rosea subspecies aerata (organism),Microbispora rosea subspecies rosea (organism)
434544001,434718003,Hyphomicrobium facile subspecies tolerans (organism),Hyphomicrobium facile subspecies facile (organism)
132511009,132642007,Greater Swiss Mountain Dog breed (organism),Swiss Mountain Dog breed (organism)
441442004,441394003,Streptosporangium amethystogenes subspecies fukuiense (organism),Streptosporangium amethystogenes subspecies amethystogenes (organism)
131769002,132798001,Welsh Mountain Badger Faced sheep breed (organism),Welsh Mountain sheep breed (organism)
132684004,131771002,Weisse Hornlose Heidschnucke sheep breed (organism),Heidschnucke sheep breed (organism)
132911004,132896009,Swiss Fox rabbit breed (organism),Fox rabbit breed (organism)
125093001,125091004,Bison bison X Bos taurus indicus X Bos taurus taurus (organism),Bos taurus indicus (organism)
125093001,125094007,Bison bison X Bos taurus indicus X Bos taurus taurus (organism),Bos taurus indicus X Bos taurus taurus (organism)
13544004,66911005,Belted Galloway cattle breed (organism),Galloway cattle breed (organism)
132605000,132603007,Petit Griffon Bleu de Gascogne dog breed (organism),Petit Bleu de Gascogne dog breed (organism)
443301008,443302001,Bifidobacterium longum subspecies infantis (organism),Bifidobacterium longum subspecies longum (organism)
113610001,113609006,Corynebacterium afermentans ss lipophilum (organism),Corynebacterium afermentans ss afermentans (organism)
723817009,723816000,Pseudomonas cedrina subspecies fulgida (organism),Pseudomonas cedrina subspecies cedrina (organism)
285178006,285180000,Latrodectus mactans tredecemguttatus (organism),Latrodectus mactans mactans (organism)
131812009,44082004,Call breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
113757008,113758003,Fusobacterium necrophorum subspecies fundiliforme (organism),Fusobacterium necrophorum subspecies necrophorum (organism)
132700003,44082004,Khaki Campbell breed duck (organism),Anas platyrhynchos platyrhynchos (organism)
432167008,432228005,Photorhabdus luminescens subspecies akhurstii (organism),Photorhabdus luminescens subspecies luminescens (organism)
113523003,113524009,Campylobacter jejuni ss doylei (organism),Campylobacter jejuni ss jejuni (organism)
43869002,44082004,Rouen duck breed (organism),Anas platyrhynchos platyrhynchos (organism)
125086000,125084002,Equus caballus gmelini X Equus caballus caballus (organism),Equus caballus gmelini (organism)
132156005,133162009,"Hainan, Tunchang pig breed (organism)",Hainan pig breed (organism)
132156005,132199000,"Hainan, Tunchang pig breed (organism)",Tunchang pig breed (organism)
132760001,133052004,Mangalarga Marchador horse breed (organism),Mangalarga horse breed (organism)
87963004,46401002,"Treponema refringens, biotype calligyrum (organism)","Treponema refringens, biotype refringens (organism)"
699437004,20027006,Trypanosoma brucei gambiense trophozoite (organism),Trypanosoma brucei gambiense (organism)
