Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
411675005,411676006,Cucurbita pepo seed diagnostic allergen extract (product),Cucurbita pepo diagnostic allergen extract (product)
441601000124106,441571000124104,Diabetic high calorie high protein enteral formula with fiber (product),High energy enteral formula with fiber (product)
16787005,33815001,Streptococcus equisimilis - suis antiserum (product),Streptococcus suis antiserum (product)
16787005,31305008,Streptococcus equisimilis - suis antiserum (product),Streptococcus equisimilis antiserum (product)
441551000124109,441541000124107,High calorie high protein enteral formula (product),High energy enteral formula (product)
430261009,714241005,Product containing apomorphine in parenteral dosage form (medicinal product form),Product containing dopamine in parenteral dosage form (medicinal product form)
347494006,284092006,Ringers infusion solution bag (product),Sodium - dietary supplementation (product)
411730003,411731004,Myristica fragrans (seed kernel) diagnostic allergen extract (product),Myristica fragrans diagnostic allergen extract (product)
429957006,438033005,Product containing chloroxylenol in topical dosage form (medicinal product form),Product containing phenol in topical dosage form (medicinal product form)
415726008,415727004,Topical form gelatin hemostatic agent (product),Topical form hemostatic agent (product)
58098008,25716001,Tetanus toxoid adsorbed (product),"Tetanus toxoid, human (product)"
415729001,415727004,Topical form oxidized cellulose hemostatic agent (product),Topical form hemostatic agent (product)
346734001,346730005,Timothy grass allergy initial kit (product),Grass allergy initial kit (product)
715468004,714610004,Product containing iodine norcholestenol in parenteral dosage form (medicinal product form),Product containing iodine in parenteral dosage form (medicinal product form)
327785008,327782006,Potassium acid phosphate injection solution ampule (product),Potassium phosphate injection solution ampule (product)
347379006,284092006,Lactated Ringer's solution (product),Sodium - dietary supplementation (product)
411546008,411539004,Insect venom specific diagnostic allergen extract (product),Insect specific diagnostic allergen extract (product)
411760008,411761007,Piper nigrum (unripe seed) diagnostic allergen extract (product),Piper nigrum diagnostic allergen extract (product)
49669006,24866006,Escherichia coli - Pasteurella multocida - Salmonella Typhimurium antiserum (product),Salmonella Typhimurium antiserum (product)
443501000124106,443471000124104,Pediatric high energy formula with increased fiber (product),Pediatric increased fiber formula (product)
438126008,350593006,Product containing zinc acetate in topical dosage form (medicinal product form),Product containing zinc in topical dosage form (medicinal product form)
346754000,346750009,Timothy grass allergy maintenance kit (product),Grass allergy maintenance kit (product)
