Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
701482004,467396002,Direct acoustic cochlear implant system (physical object),Cochlear implant system (physical object)
14116001,15644007,"Analgesia unit, device (physical object)","Anesthesia unit, device (physical object)"
700799006,700801009,"Orthopedic fixation plate kit, bioabsorbable (physical object)","Orthopedic fixation plate, bioabsorbable (physical object)"
27126002,20513005,"Power belt, device (physical object)","Power tool, device (physical object)"
408125008,408118001,Venous ulcer compression system large stocking liner (physical object),Venous ulcer compression stocking (physical object)
714735004,712625003,Eye dropper bottle aid (physical object),Eye dropper bottle (physical object)
464138002,972002,Medical gas pipeline system air filter (physical object),"Air filter, device (physical object)"
718252008,718249000,"Antimicrobial absorbent underpad, sterile (physical object)","Absorbent underpad, sterile (physical object)"
701010008,700801009,"Craniofacial fixation plate, bioabsorbable (physical object)","Orthopedic fixation plate, bioabsorbable (physical object)"
285066009,272290004,Temporary crown - laboratory constructed (physical object),Laboratory constructed crown (physical object)
701980003,972002,"Nasal air filter, fabric (physical object)","Air filter, device (physical object)"
469327008,470287002,Mammographic computerized tomography laser system application software (physical object),Laser application software (physical object)
701495009,701490004,Retinal prosthesis system clinical evaluation system (physical object),Retinal prosthesis system (physical object)
464909004,464487009,"Passive wrist prosthesis, locking (physical object)",Passive wrist prosthesis (physical object)
704888005,704867001,Fixed medical air cylinder regulator (physical object),Medical air cylinder regulator (physical object)
705894006,705893000,Unicondylar knee tibia prosthesis (physical object),Knee tibia prosthesis (physical object)
468203001,468888000,Dental abrasive disk guard (physical object),Dental abrasive disk (physical object)
261336006,49623006,Recreational powered boat (physical object),"Powered watercraft, device (physical object)"
442111003,432441000124100,Intermittent pneumatic compression stockings (physical object),Intermittent pneumatic compression device (physical object)
118387001,118413007,"Body cast, halo type, device (physical object)","Body cast, device (physical object)"
118387001,422223008,"Body cast, halo type, device (physical object)",Traction splint device (physical object)
465999003,123636009,"Silk suture, sterile (physical object)","Silk suture, device (physical object)"
464308000,464356006,"Passive elbow prosthesis, locking (physical object)",Passive elbow prosthesis (physical object)
82657000,385611006,"Bony tissue forceps, device (physical object)","Tissue forceps, device (physical object)"
465831003,972002,Surgical air pipeline system filter (physical object),"Air filter, device (physical object)"
31174004,68597009,"Lumbosacral belt, device (physical object)","Support belt, device (physical object)"
17306006,68597009,"Hernia belt, device (physical object)","Support belt, device (physical object)"
468307003,706742006,Endotracheal tube cleaning brush (physical object),Device cleaning brush (physical object)
723423009,723421006,Tympanic membrane contact hearing aid light transducer (physical object),Tympanic membrane contact hearing aid (physical object)
700969007,700970008,Temporary cardiac pacing balloon catheter (physical object),Temporary cardiac pacing catheter (physical object)
278136008,272363005,Rapid maxillary expansion appliance - fixed to bands (physical object),Fixed orthodontic appliance (physical object)
720395009,720382004,Nurse call system visual alarm (physical object),Nurse call system (physical object)
421108006,465621007,Ophthalmic trial lens frame (physical object),Trial lens frame (physical object)
469995002,467569001,Gamma camera system operator console (physical object),Camera control unit (physical object)
704858001,704859009,Humeral body extension trial prosthesis (physical object),Humeral body trial prosthesis (physical object)
118315001,118317009,Helium neon gas laser device (physical object),Neon gas laser device (physical object)
118315001,118313008,Helium neon gas laser device (physical object),Helium gas laser device (physical object)
118400001,430368000,"Short leg cast below knee to toes, device (physical object)","Short leg splint, device (physical object)"
468645005,466691009,Dental ultrasonic surgical system generator (physical object),Ultrasonic surgical system generator (physical object)
470534001,23973005,"Indwelling urethral drainage catheter, antimicrobial (physical object)","Indwelling urinary catheter, device (physical object)"
470534001,470730007,"Indwelling urethral drainage catheter, antimicrobial (physical object)",Indwelling urethral drainage catheter (physical object)
470534001,266737003,"Indwelling urethral drainage catheter, antimicrobial (physical object)",Indwelling urethral catheter (physical object)
420894006,118297007,Excimer laser source (physical object),Excimer laser device (physical object)
463862001,78641001,"Nylon suture, monofilament (physical object)","Nylon suture, device (physical object)"
463135007,462180004,"Patient isolation chamber, transportable (physical object)",Patient isolation chamber (physical object)
466627001,467088003,"Bite registration rim wax, plate (physical object)",Bite registration rim wax (physical object)
466627001,467179009,"Bite registration rim wax, plate (physical object)",Bite registration rim (physical object)
466614000,360157002,"Umbilical cord clamp, reusable (physical object)",Umbilical cord clamp (physical object)
467620009,468033000,Cardiopulmonary bypass system priming set (physical object),Cardiopulmonary bypass system tubing set (physical object)
262210004,278129007,Tip edge orthodontic bracket (physical object),Tip edge fixed orthodontic appliance (physical object)
272336009,465284005,Dental precision attachment - ball (physical object),Ball dental precision attachment (physical object)
464962006,469018002,"Pediatric dental chair, electric (physical object)","Dental chair, electric (physical object)"
466696004,466993005,Vibrating dental retractor tip (physical object),Vibrating dental retractor (physical object)
724409000,724408008,Tendon coaptation implant deployment tool (physical object),Tendon coaptation implant (physical object)
257374007,701325004,Endobronchial tube tracheal cuff (physical object),Tracheal tube cuff (physical object)
718121003,470560000,"Laparoscopic electrosurgical forceps, bipolar, reprocessed (physical object)","Laparoscopic electrosurgical forceps, bipolar (physical object)"
