Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
251415007,252687001,First glass contains mucous (procedure),Two glass urine test - first glass (procedure)
448020002,175254001,Creation of shunt from aorta to pulmonary artery using interposition tube prosthesis (procedure),Repair of pulmonary artery using prosthesis (procedure)
104958009,250650002,Testosterone challenge tests (procedure),Steroid hormone measurement (procedure)
230983000,427477004,Repositioning of mental nerve (procedure),Implantation of peripheral nerve (procedure)
439488009,118688003,Procedure on lymphatic system using imaging guidance (procedure),Procedure on lymphatic system (procedure)
10674002,10971007,Arthrotomy of elbow for synovectomy (procedure),Incision of soft tissue (procedure)
426059008,60263002,Percutaneous transluminal thrombolysis of blood vessel of liver (procedure),Destructive procedure of blood vessel (procedure)
426059008,5415002,Percutaneous transluminal thrombolysis of blood vessel of liver (procedure),Destruction of lesion of liver (procedure)
18188000,427478009,Ophthalmoscopy under general anesthesia (procedure),Evaluation of retina (procedure)
84334000,62864006,Open reduction of fracture of fibula with internal fixation (procedure),Reduction of fracture of leg with internal fixation (procedure)
442876001,703869007,Percutaneous drainage of retroperitoneal abscess using ultrasound guidance (procedure),Drainage of abdomen using ultrasound guidance (procedure)
117326009,406858009,Quinacrine fluorescent stain method (procedure),Fluorescent stain method (procedure)
204295003,359921000,Primary percutaneous repair of ruptured Achilles tendon with graft (procedure),Primary percutaneous repair of ruptured Achilles tendon (procedure)
104365005,104345003,Complement factor I measurement (procedure),Complement protein measurement (procedure)
277065002,27290008,C mandibular osteotomy (procedure),Osteotomy of body of mandible (procedure)
12739003,174595005,"Revision of ileostomy, complicated (procedure)",Revision of stoma of small intestine (procedure)
302425007,177637001,Insertion of inert substance into subcutaneous tissue (procedure),Introduction of substance into skin (procedure)
15991000087102,24267008,Computed tomography angiography of right upper limb (procedure),Radiography of upper limb soft tissue (procedure)
178856007,449622002,Reconstruction of hand with microvascular transferred flap (procedure),Transplantation of tissue of upper limb (procedure)
178856007,449656008,Reconstruction of hand with microvascular transferred flap (procedure),Transposition of tissue of upper limb (procedure)
178856007,363154008,Reconstruction of hand with microvascular transferred flap (procedure),Implantation of soft tissue (procedure)
239684002,118713006,Application of above knee cast brace with knee hinges (procedure),Procedure on knee (procedure)
233232006,118810001,Maintenance of ductus arteriosus patency (procedure),Procedure on artery of thorax (procedure)
87633005,179750003,Incision of fascia of hand (procedure),Incision of soft tissue of hand (procedure)
66364002,129181003,Arrest of bone growth of radius (procedure),Procedure on joint of upper extremity (procedure)
49570000,52172007,Olshausen operation on uterus (procedure),Repair of ligament (procedure)
49570000,90472003,Olshausen operation on uterus (procedure),Repair of round ligament of uterus (procedure)
90405002,227039004,Complete meniscectomy of temporomandibular joint (procedure),Chondrectomy of joint (procedure)
