Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
260238000,277749006,Like ice - sensation quality (qualifier value),Ice cold - sensation (qualifier value)
414549002,415793005,International units per unit mass per unit time (qualifier value),Units per unit mass per unit time (qualifier value)
414549002,282391007,International units per unit mass per unit time (qualifier value),Units per unit time (qualifier value)
414549002,282352002,International units per unit mass per unit time (qualifier value),International units per unit mass (qualifier value)
414549002,415792000,International units per unit mass per unit time (qualifier value),Units per unit mass (qualifier value)
414549002,282351009,International units per unit mass per unit time (qualifier value),International units per unit time (qualifier value)
721731008,118556004,Difference in substance concentration (property) (qualifier value),Substance concentration (property) (qualifier value)
399006002,399184004,Left posterior oblique projection (qualifier value),Left oblique projection (qualifier value)
415829005,282398001,Volume per unit mass per unit time (qualifier value),Mass per unit time per unit mass (qualifier value)
415829005,258695005,Volume per unit mass per unit time (qualifier value),Unit of time (qualifier value)
415829005,258680008,Volume per unit mass per unit time (qualifier value),Unit of mass (qualifier value)
415829005,258769000,Volume per unit mass per unit time (qualifier value),Unit of volume (qualifier value)
395086005,395092004,Community specialist palliative care (qualifier value),Specialist palliative care (qualifier value)
385143005,421720008,Ear spray emulsion (qualifier value),Spray dose form (qualifier value)
414119009,282398001,Equivalents per unit mass per unit time (qualifier value),Mass per unit time per unit mass (qualifier value)
414119009,258695005,Equivalents per unit mass per unit time (qualifier value),Unit of time (qualifier value)
414119009,282393005,Equivalents per unit mass per unit time (qualifier value),equivalents per unit time (qualifier value)
414119009,258680008,Equivalents per unit mass per unit time (qualifier value),Unit of mass (qualifier value)
282264007,258680008,Mass per unit mass (qualifier value),Unit of mass (qualifier value)
1371000175106,445471000124100,One to two times per week (qualifier value),One to two times (qualifier value)
286587001,258681007,International System of Units unit of mass per calorific quantity (qualifier value),International System of Units unit of mass (qualifier value)
418941001,418612008,Dollars per minute (qualifier value),Dollars per unit (qualifier value)
282363004,258695005,Denominators of time (qualifier value),Unit of time (qualifier value)
722244000,118553007,Pressure ratio (property) (qualifier value),Number ratio (property) (qualifier value)
1951000175101,118553007,International normalized ratio (qualifier value),Number ratio (property) (qualifier value)
282826001,258681007,International System of Units unit of mass per unit body weight (qualifier value),International System of Units unit of mass (qualifier value)
421984009,421548005,Until finished - dosing instruction fragment (qualifier value),Until - dosing instruction fragment (qualifier value)
703426005,118569000,Relative arbitrary concentration (property) (qualifier value),Arbitrary concentration (property) (qualifier value)
259012000,259010008,Fraction of total barometric pressure (qualifier value),Unit of pressure (qualifier value)
414757002,282269002,Moles per unit mass per unit time (qualifier value),Moles per unit time (qualifier value)
414757002,282398001,Moles per unit mass per unit time (qualifier value),Mass per unit time per unit mass (qualifier value)
414757002,258695005,Moles per unit mass per unit time (qualifier value),Unit of time (qualifier value)
414757002,258680008,Moles per unit mass per unit time (qualifier value),Unit of mass (qualifier value)
429557002,15508007,Moderate to high risk of (contextual qualifier) (qualifier value),High risk of (contextual qualifier) (qualifier value)
282394004,282269002,Moles per unit time per unit volume (qualifier value),Moles per unit time (qualifier value)
282394004,258695005,Moles per unit time per unit volume (qualifier value),Unit of time (qualifier value)
282394004,258769000,Moles per unit time per unit volume (qualifier value),Unit of volume (qualifier value)
420652005,421548005,Until gone - dosing instruction fragment (qualifier value),Until - dosing instruction fragment (qualifier value)
396133004,225756002,Every four hours while awake (qualifier value),Every four hours (qualifier value)
282395003,259021004,Volume per unit time per unit area (qualifier value),Unit of area (qualifier value)
282395003,258695005,Volume per unit time per unit area (qualifier value),Unit of time (qualifier value)
282395003,415781001,Volume per unit time per unit area (qualifier value),Unit of volume per unit area (qualifier value)
282268005,258696006,International System of Units units of volume per unit time (qualifier value),International System of Units unit of time (qualifier value)
282268005,282391007,International System of Units units of volume per unit time (qualifier value),Units per unit time (qualifier value)
282268005,258769000,International System of Units units of volume per unit time (qualifier value),Unit of volume (qualifier value)
282376005,282264007,osmoles per unit mass (qualifier value),Mass per unit mass (qualifier value)
282376005,258680008,osmoles per unit mass (qualifier value),Unit of mass (qualifier value)
704641009,704598005,Plains Indian sign language (qualifier value),Indian sign language (qualifier value)
414651006,259021004,Mass per unit area per unit time (qualifier value),Unit of area (qualifier value)
414651006,258695005,Mass per unit area per unit time (qualifier value),Unit of time (qualifier value)
414651006,258680008,Mass per unit area per unit time (qualifier value),Unit of mass (qualifier value)
414651006,282401003,Mass per unit area per unit time (qualifier value),Mass per unit time per unit area (qualifier value)
418933001,418612008,Dollars per week (qualifier value),Dollars per unit (qualifier value)
396179009,282264007,Volume per unit mass (qualifier value),Mass per unit mass (qualifier value)
396179009,258680008,Volume per unit mass (qualifier value),Unit of mass (qualifier value)
