Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
430695000,281666001,Family history of genetic disorder carrier (situation),Family history of disorder (situation)
460616007,297249002,Education of family (situation),Family history of procedure (situation)
143691000119102,138701000119105,Family history of breast cancer gene mutation in first degree relative (situation),Family history of gene mutation (situation)
710348006,297249002,Assessment of health needs of family (situation),Family history of procedure (situation)
292002002,274977001,Open unilateral occlusion of fallopian tube (situation),Unilateral occlusion of fallopian tube (situation)
16216821000119102,271903000,History of molar pregnancy (situation),History of pregnancy (situation)
138141000119108,275903009,History of merkel cell carcinoma (situation),History of carcinoma (situation)
10850001000004109,112101000119101,History of cerebellar meningioma (situation),History of meningioma (situation)
710851008,297249002,Assessment of family coping behavior (situation),Family history of procedure (situation)
432191000124101,140701000119108,History of hemorrhagic stroke with residual hemiparesis (situation),History of hemorrhagic stroke with hemiparesis (situation)
442393007,164996002,Delayed hypersensitivity skin test for histoplasmin done (situation),Hypersensitivity skin test done (situation)
709473008,297249002,Assessment of family knowledge of disease (situation),Family history of procedure (situation)
706871001,405786003,Poor response to enteral nutrition (situation),Poor response to treatment (situation)
12399531000119102,697951004,Suspected victim of elder emotional abuse (situation),Suspected victim of emotional abuse (situation)
288401000119109,313214000,History of childhood psychological abuse (situation),History of abuse (situation)
444333006,417662000,History of handicap in child of subject (situation),History of clinical finding in subject (situation)
717804008,717803002,Singleton liveborn born outside hospital (situation),Singleton liveborn born in hospital (situation)
12399131000119105,697951004,Suspected victim of child emotional abuse (situation),Suspected victim of emotional abuse (situation)
75584009,31518001,Unilateral recurrent inguinal hernia with gangrene (situation),Unilateral inguinal hernia with gangrene (situation)
725943008,15758941000119102,History of second degree perineal laceration (situation),History of perineal laceration (situation)
49291000119105,472956003,History of soft tissue sarcoma (situation),History of disorder of soft tissue (situation)
725942003,15758941000119102,History of fourth degree perineal laceration (situation),History of perineal laceration (situation)
717806005,442327001,Twin liveborn born outside hospital (situation),Twin liveborn born in hospital (situation)
700254002,702579009,Suspected victim of child sexual abuse (situation),Suspected victim of sexual abuse (situation)
453301000124104,182985004,Medication dose changed in response to liver function (situation),Response to treatment (situation)
720428004,313217007,History of domestic emotional abuse (situation),History of emotional abuse (situation)
285701000119108,59391000119102,History of heart valve repair with prosthesis (situation),History of heart valve repair (situation)
432181000124104,140711000119106,History of hemorrhagic stroke with residual hemiplegia (situation),History of hemorrhagic stroke with hemiplegia (situation)
371422002,313214000,History of substance abuse (situation),History of abuse (situation)
265078000,274977001,Endoscopic unilateral occlusion of fallopian tube (situation),Unilateral occlusion of fallopian tube (situation)
717808006,717807001,Multiple liveborn other than twins born outside hospital (situation),Multiple liveborn other than twins born in hospital (situation)
709006008,449641000124107,Primary care physician informed of treatment plan (situation),Primary care physician notified of procedure (situation)
12242911000119107,697949003,Suspected victim of elder physical abuse (situation),Suspected victim of physical abuse (situation)
713651007,271903000,History of pregnancy with abortive outcome (situation),History of pregnancy (situation)
347941000119102,112101000119101,History of benign meningioma of brain (situation),History of meningioma (situation)
160265008,57177007,Family history taken (situation),Family history with explicit context (situation)
347931000119106,112101000119101,History of malignant meningioma of meninges of brain (situation),History of meningioma (situation)
328001000119104,4080001000004102,History of atrial myxoma (situation),History of myxoma (situation)
710555007,297249002,Assessment of spiritual beliefs of family (situation),Family history of procedure (situation)
710350003,710348006,Assessment of health needs of family done (situation),Assessment of health needs of family (situation)
444180005,312850006,History of schizophrenia in child of subject (situation),History of disorder (situation)
448811000124104,112101000119101,History of cerebral meningioma (situation),History of meningioma (situation)
733856009,710840008,Assessment of caregiver knowledge of instruction manual (situation),Assessment of caregiver knowledge (situation)
168438004,274402003,Cervical smear: uterine curettage needed (situation),Cervical smear: action (situation)
73861000119101,473059001,History of medulloblastoma of brain (situation),History of malignant neoplasm of brain (situation)
429016002,275903009,History of medullary carcinoma of thyroid (situation),History of carcinoma (situation)
