Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
74892001,6446008,Shoe sewer (machine) (occupation),Leather sewer (machine) (occupation)
12475000,19656002,Working proprietor (wholesale trade) (occupation),"Manager, wholesale trade (occupation)"
699111006,699110007,Second degree blood relative of subject (person),Second degree blood relative (person)
50101006,73355001,Pentecostal Free Will Baptist Church (religion/philosophy),Free Will Baptist Church (religion/philosophy)
444018008,410604004,Person with characteristic related to subject of record (person),Subject of record (person)
106364006,78647002,Business services salesman (occupation),Other sales worker (occupation)
62247001,721936008,Family medicine specialist (occupation),Occupation medicine specialist (occupation)
61246008,721936008,Laboratory medicine specialist (occupation),Occupation medicine specialist (occupation)
106467003,308325002,Machine tool setter operator (occupation),Machine tool setter (occupation)
39677007,721936008,Internal medicine specialist (occupation),Occupation medicine specialist (occupation)
159574003,159579008,Supervisor: office machine operator (occupation),Office machine operator (occupation)
721938009,721936008,Tropical medicine specialist (occupation),Occupation medicine specialist (occupation)
428504005,429171004,"Christian Spiritualist, follower of religion (person)","Spiritualist, follower of religion (person)"
24430003,721936008,Physical medicine specialist (occupation),Occupation medicine specialist (occupation)
80933006,721936008,Nuclear medicine specialist (occupation),Occupation medicine specialist (occupation)
45550002,3715003,Teacher in physical sciences (third level) (occupation),Teacher in education (third level) (occupation)
721939001,721936008,Vascular medicine specialist (occupation),Occupation medicine specialist (occupation)
721937004,721936008,Preventive medicine specialist (occupation),Occupation medicine specialist (occupation)
159657009,159655001,Supervisor - fire service (occupation),Protective services supervisor (occupation)
51653006,160178001,Railway station master (occupation),Rail transport occupation (occupation)
64816001,22575004,Upper middle class economic status (social concept),Middle class economic status (social concept)
38234007,3715003,Teacher in law (third level) (occupation),Teacher in education (third level) (occupation)
80123004,22575004,Lower middle class economic status (social concept),Middle class economic status (social concept)
159298009,106275007,Chemical engineering technical assistant (occupation),Chemical engineering technician (occupation)
34655005,308293002,Pipe fitter (general) (occupation),Pipe metal worker (occupation)
721940004,721936008,Legal medicine specialist (occupation),Occupation medicine specialist (occupation)
440218009,440660001,Reformed Presbyterian Church (religion/philosophy),Christian Reformed Church (religion/philosophy)
308214009,160188000,Driver - light goods (occupation),Light goods vehicle driver (occupation)
85639005,3715003,Teacher in industrial arts (third level) (occupation),Teacher in education (third level) (occupation)
46246004,3715003,Teacher in mathematics (third level) (occupation),Teacher in education (third level) (occupation)
50131000,78647002,Other sales supervisor (occupation),Other sales worker (occupation)
9948003,3715003,Teacher in agricultural science (third level) (occupation),Teacher in education (third level) (occupation)
720503005,721936008,Sleep medicine specialist (occupation),Occupation medicine specialist (occupation)
