Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
4423008,48132000,Fibrinogen New York II (substance),Fibrinogen New York I (substance)
707233007,312414008,Calcium oxalate monohydrate (substance),Chemical categorized functionally (substance)
20230008,312414008,Vital new red stain (substance),Chemical categorized functionally (substance)
27205008,64846003,Blood group antigen IAB (substance),Blood group antigen i (substance)
226510001,312414008,High alcohol lager (substance),Chemical categorized functionally (substance)
78003007,44624002,Fibrinogen New Orleans II (substance),Fibrinogen New Orleans I (substance)
256731004,420934007,Lateral eyelid skin flap (substance),Skin graft material (substance)
2029004,62384001,Fibrinogen Oslo II (substance),Fibrinogen Oslo I (substance)
69133007,312414008,Sudan IV stain (substance),Chemical categorized functionally (substance)
709401006,709404003,Antigen of Taenia hydatigena (substance),Antigen of Taenia (substance)
10767000,312414008,Calcium phosphate dibasic (substance),Chemical categorized functionally (substance)
259531000,312414008,Uridyl monophosphate synthase (substance),Chemical categorized functionally (substance)
20495002,21028006,Fibrinogen Bergamo II (substance),Fibrinogen Bergamo I (substance)
414749000,414486003,Mineralized methylated spirit (substance),Industrial methylated spirit (substance)
414749000,311835000,Mineralized methylated spirit (substance),Organic chemical solvent (substance)
102687007,312414008,Prostate specific antigen (substance),Chemical categorized functionally (substance)
259389007,312414008,Hepatic phosphorylase b kinase (substance),Chemical categorized functionally (substance)
9716005,15469000,Blood group antibody Luke (substance),Blood group antibody p (substance)
13744001,312414008,Methyl red stain (substance),Chemical categorized functionally (substance)
710425002,409890000,Immunoglobulin G antibody to cyclic citrullinated peptide (substance),Autoantibody - immunoglobulin G (substance)
259970002,259735007,Cytoplasmic kappa chain (substance),Lymphocyte light chain (substance)
256634003,312414008,Nylon dental material (substance),Chemical categorized functionally (substance)
426952001,312414008,Morphine sulfate liposome (substance),Chemical categorized functionally (substance)
120855008,399854009,Human polio virus antibody (substance),Allergen specific antibody (substance)
35094004,312414008,Tropaeolin O stain (substance),Chemical categorized functionally (substance)
709403009,709404003,Antigen of Taenia solium larva (substance),Antigen of Taenia (substance)
709403009,709402004,Antigen of Taenia solium larva (substance),Antigen of Taenia solium (substance)
